                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                 1.0873,                 1.0691,                 1.2148,                0.87055,                0.71881,                0.77261,                0.58765,                 0.9284,                0.67171,                 1.0304,                0.00703,                0.00703,                0.00703
                     93,                  1.082,                 1.0653,                 1.2123,                0.87335,                0.71668,                0.77227,                0.58768,                0.92783,                0.67062,                 1.0301,               0.006997,               0.006997,               0.006997
                     94,                 1.0867,                 1.0623,                  1.212,                0.87312,                0.71667,                0.77257,                0.58769,                 0.9273,                0.66954,                 1.0298,               0.006964,               0.006964,               0.006964
                     95,                 1.0808,                 1.0604,                 1.2067,                0.87365,                0.71562,                0.77244,                0.58819,                0.92685,                0.66875,                 1.0294,               0.006931,               0.006931,               0.006931
                     96,                 1.0814,                 1.0577,                 1.2115,                0.87465,                0.71418,                0.77271,                0.58883,                0.92629,                0.66819,                  1.029,               0.006898,               0.006898,               0.006898
                     97,                  1.079,                 1.0453,                 1.2016,                0.87856,                0.71454,                0.77318,                0.58923,                0.92491,                0.66684,                 1.0283,               0.006865,               0.006865,               0.006865
                     98,                 1.0565,                 1.0295,                 1.1965,                0.87072,                0.71845,                0.77341,                0.58993,                0.92385,                0.66492,                 1.0278,               0.006832,               0.006832,               0.006832
                     99,                 1.0702,                 1.0442,                 1.2006,                0.87785,                0.71573,                0.77399,                0.58983,                 0.9243,                0.66463,                 1.0278,               0.006799,               0.006799,               0.006799
                    100,                 1.0659,                 1.0413,                 1.2017,                0.86946,                0.71975,                0.77445,                 0.5914,                0.92303,                 0.6642,                 1.0275,               0.006766,               0.006766,               0.006766
                    101,                 1.0561,                 1.0215,                 1.1957,                0.86906,                0.72057,                 0.7751,                0.59181,                  0.922,                 0.6635,                 1.0272,               0.006733,               0.006733,               0.006733
